"outcome","pathway_id","exposure","exposure_label","scale","model_structure","family","offset_policy","n_months","data_status","se_method","term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","q_value_core_bh","manuscript_role"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE","model","mean_tmax",-0.00827072346309585,0.00740617721657753,-1.11673312982346,0.264108448037732,0.991763384871895,0.977470828233239,1.00626492695479,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmax",-0.00827072346309585,0.00770224070140178,-1.07380745210814,0.282908989262123,0.991763384871895,0.976903781670644,1.0068490162772,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_tmax",-0.00827072346309585,0.00684680570089217,-1.20796818610146,0.227059499774853,0.991763384871895,0.978543083823187,1.00516229467346,,"sensitivity"
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmax",-0.00827072346309585,0.0064551276122102,-1.28126412984483,0.200100907554503,0.991763384871895,0.979294589061591,1.00439093870118,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","model","mean_tmin",-0.0058463754564676,0.0079572199067504,-0.734725887304925,0.462506451104038,0.994170681340187,0.978785730120017,1.00979745946564,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmin",-0.0058463754564676,0.00926563433750284,-0.630974118286136,0.528057447425994,0.994170681340187,0.976278857468847,1.01239040062685,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_tmin",-0.0058463754564676,0.00901681350728228,-0.648385979342467,0.516735336356753,0.994170681340187,0.976755093878047,1.01189678951377,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmin",-0.0058463754564676,0.00885340135324042,-0.660353600068947,0.509026940897322,0.994170681340187,0.977067986744829,1.01157274319186,0.763540411345983,"amended_core_candidate"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","model","mean_tmin",-0.0066877209642883,0.00807819786826769,-0.827872883698309,0.407742493096942,0.993334592072729,0.977730715597129,1.00918749515369,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmin",-0.0066877209642883,0.00830083816284191,-0.805668154599784,0.420434216198448,0.993334592072729,0.977304151455969,1.00962797542434,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_tmin",-0.0066877209642883,0.00811545214041251,-0.82407250373463,0.409898362468584,0.993334592072729,0.977659325897061,1.00926118707345,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmin",-0.0066877209642883,0.00793844333971378,-0.842447401599698,0.399537569665188,0.993334592072729,0.977998571179418,1.00891109750638,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","model","mean_tmin",-0.00637016655300801,0.00799610958811539,-0.796658235209281,0.425649546005454,0.993650079943951,0.97819862028036,1.00934560824635,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmin",-0.00637016655300801,0.00927790348638817,-0.686595475190471,0.492337680642796,0.993650079943951,0.975744160675831,1.01188459143712,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","mean_tmin",-0.00637016655300801,0.00901404644183616,-0.706693336240501,0.47975707158263,0.993650079943951,0.976248906843927,1.01136142068988,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmin",-0.00637016655300801,0.00883102242637842,-0.721339641713536,0.470700572684146,0.993650079943951,0.976599176576021,1.01099868303622,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","model","mean_tmin",-0.00712892205765021,0.00812359301320828,-0.877557756285819,0.380183762633122,0.992896428430879,0.977212484039398,1.00883209505851,,"sensitivity"
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmin",-0.00712892205765021,0.00832747610626611,-0.856072352136317,0.39195776043262,0.992896428430879,0.976822057330482,1.00923531588237,,"sensitivity"
