"outcome","pathway_id","exposure","model_structure","exposure_rhs","offset_type","offset_label","term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","n_months","data_status","family","se_method","aic"
"hf","P04B","cold_days","single_exposure","I(cold_days/5)","pop_x_days","population_x_days","I(cold_days/5)",0.0703221046087019,0.0324097229593229,2.16978419398902,0.0300231983152424,1.07285369672534,1.0068222136051,1.14321579224582,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1223.61441731224
"hf","P04A","hot_nights","single_exposure","I(hot_nights/5)","days_only","days_only","I(hot_nights/5)",0.00310452698616816,0.0140199326407834,0.221436654919241,0.824752454236862,1.0031093510209,0.975920119210477,1.03105607754004,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1231.85234860756
"hf","P04A","hot_nights","single_exposure","I(hot_nights/5)","no_offset","no_offset_counts","I(hot_nights/5)",0.00297167563385287,0.0140649475026321,0.211282383620468,0.832666928482372,1.00297609543888,0.97570438616864,1.0310100705522,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1231.20420737181
"hf","P04A","hot_nights","single_exposure","I(hot_nights/5)","pop_x_days","population_x_days","I(hot_nights/5)",0.00275434007200614,0.0138654225402652,0.198648116493207,0.842538012082504,1.0027581367516,0.975873913300135,1.03038299017662,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1231.62819669041
"hf","P04","joint_extreme_days","joint_exploratory","I(hot_nights/5) + I(cold_days/5) + I(very_hot_days/5)","days_only","days_only","I(hot_nights/5)",0.0125884888689495,0.0176934648169277,0.711476751399527,0.47678885251194,1.01266805742704,0.978151510560742,1.0484026078385,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1227.45831260615
"hf","P04","joint_extreme_days","joint_exploratory","I(hot_nights/5) + I(cold_days/5) + I(very_hot_days/5)","days_only","days_only","I(cold_days/5)",0.0702585525406178,0.0329036929824269,2.13527863204113,0.0327382572634081,1.07278551682068,1.00578397727029,1.14425044652598,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1227.45831260615
"hf","P04","joint_extreme_days","joint_exploratory","I(hot_nights/5) + I(cold_days/5) + I(very_hot_days/5)","days_only","days_only","I(very_hot_days/5)",-0.0140490332670585,0.0212039597279311,-0.662566494528487,0.507608234874964,0.986049193864027,0.945909108520943,1.02789264207447,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1227.45831260615
"hf","P04","joint_extreme_days","joint_exploratory","I(hot_nights/5) + I(cold_days/5) + I(very_hot_days/5)","no_offset","no_offset_counts","I(hot_nights/5)",0.01233368222087,0.0177623509102437,0.694372174223688,0.487448839295351,1.01241005574537,0.977770278533413,1.04827702731131,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1226.25789821228
"hf","P04","joint_extreme_days","joint_exploratory","I(hot_nights/5) + I(cold_days/5) + I(very_hot_days/5)","no_offset","no_offset_counts","I(cold_days/5)",0.0724187462078697,0.0332863470391271,2.1756291287459,0.0295830034356447,1.0751054461466,1.00720332604497,1.14758528933062,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1226.25789821228
"hf","P04","joint_extreme_days","joint_exploratory","I(hot_nights/5) + I(cold_days/5) + I(very_hot_days/5)","no_offset","no_offset_counts","I(very_hot_days/5)",-0.0139246609179038,0.021237888508387,-0.655651851284788,0.512048155246096,0.986171838745308,0.945963851699639,1.02808885750436,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1226.25789821228
"hf","P04","joint_extreme_days","joint_exploratory","I(hot_nights/5) + I(cold_days/5) + I(very_hot_days/5)","pop_x_days","population_x_days","I(hot_nights/5)",0.0118667706689747,0.0175814516905085,0.674959660775968,0.499701394187938,1.01193746013385,0.977660433111613,1.047416248567,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1227.23097181021
"hf","P04","joint_extreme_days","joint_exploratory","I(hot_nights/5) + I(cold_days/5) + I(very_hot_days/5)","pop_x_days","population_x_days","I(cold_days/5)",0.0703139984320239,0.0327377176185594,2.14779781691812,0.0317298205323547,1.07284500001898,1.0061670100849,1.14394169410165,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1227.23097181021
"hf","P04","joint_extreme_days","joint_exploratory","I(hot_nights/5) + I(cold_days/5) + I(very_hot_days/5)","pop_x_days","population_x_days","I(very_hot_days/5)",-0.0135390421488214,0.0212355924449314,-0.637563665055787,0.523757754433027,0.986552198448075,0.946332962215908,1.02848075584698,132,"HA_APPROVED_AGGREGATE","negbin/glm/lm","NeweyWest_lag6",1227.23097181021
