SEX,AGE,CCYY,H,obs_value,sd_value
F,40-44,1968,1,115.0000000000,
F,45-49,1968,1,101.0000000000,
F,5-9,1968,1,266.1000000000,
F,50-54,1968,1,85.9000000000,
F,55-59,1968,1,72.6000000000,
F,60-64,1968,1,55.1000000000,
F,65-69,1968,1,43.5000000000,
F,70-74,1968,1,29.9000000000,
F,75-79,1968,1,18.0000000000,
F,80-84,1968,1,8.5000000000,
F,85_and_over,1968,1,4.6000000000,
M,,1968,1,1917.8000000000,
M,0-4,1968,1,239.2000000000,
M,10-14,1968,1,245.4000000000,
M,15-19,1968,1,193.1000000000,
M,20-24,1968,1,124.9000000000,
M,25-29,1968,1,106.0000000000,
M,30-34,1968,1,122.7000000000,
M,35-39,1968,1,134.4000000000,
M,40-44,1968,1,121.6000000000,
M,45-49,1968,1,108.3000000000,
M,5-9,1968,1,277.4000000000,
M,50-54,1968,1,87.7000000000,
M,55-59,1968,1,67.1000000000,
M,60-64,1968,1,39.8000000000,
M,65-69,1968,1,25.3000000000,
M,70-74,1968,1,13.5000000000,
M,75-79,1968,1,6.9000000000,
M,80-84,1968,1,2.9000000000,
M,85_and_over,1968,1,1.6000000000,
,,1968,2,3844.5000000000,
F,,1968,2,0.0000000000,9
M,,1968,2,0.0000000000,9
,,1969,1,3863.9000000000,
,0-4,1969,1,443.0000000000,
,10-14,1969,1,498.9000000000,
,15-19,1969,1,400.7000000000,
,20-24,1969,1,266.5000000000,
,25-29,1969,1,191.8000000000,
,30-34,1969,1,221.2000000000,
,35-39,1969,1,256.1000000000,
,40-44,1969,1,242.9000000000,
,45-49,1969,1,212.7000000000,
,5-9,1969,1,541.0000000000,
,50-54,1969,1,179.9000000000,
,55-59,1969,1,144.4000000000,
,60-64,1969,1,102.2000000000,
,65-69,1969,1,70.3000000000,
,70-74,1969,1,47.1000000000,
,75-79,1969,1,25.9000000000,
,80-84,1969,1,12.8000000000,
,85_and_over,1969,1,6.5000000000,
F,,1969,1,1916.6000000000,
F,0-4,1969,1,215.3000000000,
F,10-14,1969,1,243.3000000000,
F,15-19,1969,1,197.0000000000,
F,20-24,1969,1,129.7000000000,
F,25-29,1969,1,87.3000000000,
F,30-34,1969,1,103.5000000000,
F,35-39,1969,1,123.2000000000,
F,40-44,1969,1,118.2000000000,
F,45-49,1969,1,103.1000000000,
F,5-9,1969,1,265.1000000000,
F,50-54,1969,1,88.5000000000,
F,55-59,1969,1,74.6000000000,
F,60-64,1969,1,57.9000000000,
F,65-69,1969,1,44.5000000000,
F,70-74,1969,1,32.0000000000,
F,75-79,1969,1,19.0000000000,
F,80-84,1969,1,9.5000000000,
F,85_and_over,1969,1,4.9000000000,
M,,1969,1,1947.3000000000,
M,0-4,1969,1,227.7000000000,
M,10-14,1969,1,255.6000000000,
M,15-19,1969,1,203.7000000000,
M,20-24,1969,1,136.8000000000,
M,25-29,1969,1,104.5000000000,
M,30-34,1969,1,117.7000000000,
M,35-39,1969,1,132.9000000000,
M,40-44,1969,1,124.7000000000,
M,45-49,1969,1,109.6000000000,
M,5-9,1969,1,275.9000000000,
M,50-54,1969,1,91.4000000000,
M,55-59,1969,1,69.8000000000,
M,60-64,1969,1,44.3000000000,
M,65-69,1969,1,25.8000000000,
M,70-74,1969,1,15.1000000000,
M,75-79,1969,1,6.9000000000,
M,80-84,1969,1,3.3000000000,
M,85_and_over,1969,1,1.6000000000,
,,1969,2,3906.1000000000,
F,,1969,2,0.0000000000,9
M,,1969,2,0.0000000000,9
,,1970,1,3959.0000000000,
,0-4,1970,1,421.4000000000,
,10-14,1970,1,516.6000000000,
,15-19,1970,1,421.4000000000,
,20-24,1970,1,305.8000000000,
,25-29,1970,1,199.8000000000,
,30-34,1970,1,215.4000000000,
,35-39,1970,1,255.3000000000,
,40-44,1970,1,252.1000000000,
,45-49,1970,1,218.8000000000,
,5-9,1970,1,531.4000000000,
,50-54,1970,1,188.4000000000,
,55-59,1970,1,150.0000000000,
,60-64,1970,1,110.9000000000,
,65-69,1970,1,72.4000000000,
,70-74,1970,1,51.0000000000,
,75-79,1970,1,27.2000000000,
,80-84,1970,1,14.1000000000,
,85_and_over,1970,1,7.0000000000,
F,,1970,1,1952.7000000000,
F,0-4,1970,1,204.4000000000,
F,10-14,1970,1,252.1000000000,
F,15-19,1970,1,205.9000000000,
F,20-24,1970,1,147.7000000000,
F,25-29,1970,1,89.9000000000,
F,30-34,1970,1,98.6000000000,
F,35-39,1970,1,121.4000000000,
F,40-44,1970,1,121.4000000000,
F,45-49,1970,1,105.7000000000,
F,5-9,1970,1,260.4000000000,
F,50-54,1970,1,91.6000000000,
F,55-59,1970,1,76.7000000000,
F,60-64,1970,1,61.2000000000,
F,65-69,1970,1,45.7000000000,
F,70-74,1970,1,34.1000000000,
F,75-79,1970,1,20.1000000000,
F,80-84,1970,1,10.5000000000,
F,85_and_over,1970,1,5.3000000000,
M,,1970,1,2006.3000000000,
M,0-4,1970,1,217.0000000000,
M,10-14,1970,1,264.5000000000,
M,15-19,1970,1,215.5000000000,
M,20-24,1970,1,158.1000000000,
M,25-29,1970,1,109.9000000000,
M,30-34,1970,1,116.8000000000,
M,35-39,1970,1,133.9000000000,
M,40-44,1970,1,130.7000000000,
M,45-49,1970,1,113.1000000000,
M,5-9,1970,1,271.0000000000,
M,50-54,1970,1,96.8000000000,
M,55-59,1970,1,73.3000000000,
M,60-64,1970,1,49.7000000000,
M,65-69,1970,1,26.7000000000,
M,70-74,1970,1,16.9000000000,
M,75-79,1970,1,7.1000000000,
