SEX,AGE,H,CCYY,obs_value,sd_value
M,72,1,1962,2.1000000000,
M,73,1,1962,1.8000000000,
M,74,1,1962,1.6000000000,
M,75,1,1962,1.3000000000,
M,76,1,1962,1.1000000000,
M,77,1,1962,0.9000000000,
M,78,1,1962,0.7000000000,
M,79,1,1962,0.6000000000,
M,8,1,1962,44.4000000000,
M,80,1,1962,0.5000000000,
M,81,1,1962,0.4000000000,
M,82,1,1962,0.4000000000,
M,83,1,1962,0.4000000000,
M,84,1,1962,0.4000000000,
M,85_and_over,1,1962,1.1000000000,
M,9,1,1962,42.4000000000,
M,zero,1,1962,51.1000000000,
,,2,1962,3368.2000000000,
F,,2,1962,0.0000000000,9
M,,2,1962,0.0000000000,9
,,1,1963,3420.9000000000,
,1,1,1963,110.3000000000,
,10,1,1963,83.6000000000,
,11,1,1963,80.1000000000,
,12,1,1963,76.6000000000,
,13,1,1963,72.4000000000,
,14,1,1963,66.5000000000,
,15,1,1963,59.7000000000,
,16,1,1963,52.9000000000,
,17,1,1963,46.5000000000,
,18,1,1963,41.4000000000,
,19,1,1963,38.6000000000,
,2,1,1963,110.5000000000,
,20,1,1963,38.5000000000,
,21,1,1963,38.8000000000,
,22,1,1963,39.1000000000,
,23,1,1963,40.1000000000,
,24,1,1963,41.6000000000,
,25,1,1963,43.3000000000,
,26,1,1963,45.2000000000,
,27,1,1963,47.5000000000,
,28,1,1963,49.5000000000,
,29,1,1963,51.1000000000,
,3,1,1963,109.2000000000,
,30,1,1963,52.0000000000,
,31,1,1963,52.6000000000,
,32,1,1963,53.4000000000,
,33,1,1963,53.5000000000,
,34,1,1963,53.1000000000,
,35,1,1963,51.7000000000,
,36,1,1963,50.2000000000,
,37,1,1963,48.3000000000,
,38,1,1963,47.0000000000,
,39,1,1963,45.7000000000,
,4,1,1963,107.1000000000,
,40,1,1963,45.0000000000,
,41,1,1963,44.2000000000,
,42,1,1963,43.2000000000,
,43,1,1963,42.4000000000,
,44,1,1963,41.0000000000,
,45,1,1963,39.4000000000,
,46,1,1963,37.8000000000,
,47,1,1963,36.2000000000,
,48,1,1963,34.6000000000,
,49,1,1963,33.3000000000,
,5,1,1963,103.9000000000,
,50,1,1963,32.2000000000,
,51,1,1963,31.0000000000,
,52,1,1963,29.9000000000,
,53,1,1963,28.5000000000,
,54,1,1963,26.7000000000,
,55,1,1963,24.7000000000,
,56,1,1963,22.6000000000,
,57,1,1963,20.3000000000,
,58,1,1963,18.6000000000,
,59,1,1963,17.5000000000,
,6,1,1963,100.4000000000,
,60,1,1963,16.8000000000,
,61,1,1963,16.3000000000,
,62,1,1963,15.7000000000,
,63,1,1963,14.9000000000,
,64,1,1963,13.9000000000,
,65,1,1963,12.8000000000,
,66,1,1963,11.4000000000,
,67,1,1963,10.3000000000,
,68,1,1963,9.2000000000,
,69,1,1963,8.4000000000,
,7,1,1963,95.8000000000,
,70,1,1963,7.7000000000,
,71,1,1963,7.2000000000,
,72,1,1963,6.6000000000,
,73,1,1963,6.0000000000,
,74,1,1963,5.4000000000,
,75,1,1963,4.7000000000,
,76,1,1963,4.1000000000,
,77,1,1963,3.4000000000,
,78,1,1963,2.8000000000,
,79,1,1963,2.3000000000,
,8,1,1963,91.2000000000,
,80,1,1963,2.0000000000,
,81,1,1963,1.7000000000,
,82,1,1963,1.5000000000,
,83,1,1963,1.3000000000,
,84,1,1963,1.2000000000,
,85_and_over,1,1963,4.3000000000,
,9,1,1963,86.9000000000,
,zero,1,1963,104.1000000000,
F,,1,1963,1690.8000000000,
F,1,1,1963,54.1000000000,
F,10,1,1963,41.0000000000,
F,11,1,1963,39.5000000000,
F,12,1,1963,38.0000000000,
F,13,1,1963,36.0000000000,
F,14,1,1963,33.1000000000,
F,15,1,1963,29.5000000000,
F,16,1,1963,25.9000000000,
F,17,1,1963,22.3000000000,
F,18,1,1963,19.4000000000,
F,19,1,1963,17.7000000000,
F,2,1,1963,54.1000000000,
F,20,1,1963,17.4000000000,
F,21,1,1963,17.4000000000,
F,22,1,1963,17.4000000000,
F,23,1,1963,17.9000000000,
F,24,1,1963,18.6000000000,
F,25,1,1963,19.7000000000,
F,26,1,1963,20.7000000000,
F,27,1,1963,22.1000000000,
F,28,1,1963,23.2000000000,
F,29,1,1963,24.1000000000,
F,3,1,1963,53.4000000000,
F,30,1,1963,24.6000000000,
F,31,1,1963,25.0000000000,
F,32,1,1963,25.4000000000,
F,33,1,1963,25.5000000000,
F,34,1,1963,25.4000000000,
F,35,1,1963,24.7000000000,
F,36,1,1963,24.1000000000,
F,37,1,1963,23.2000000000,
F,38,1,1963,22.6000000000,
F,39,1,1963,21.9000000000,
F,4,1,1963,52.3000000000,
F,40,1,1963,21.5000000000,
F,41,1,1963,21.1000000000,
F,42,1,1963,20.5000000000,
F,43,1,1963,20.1000000000,
F,44,1,1963,19.4000000000,
F,45,1,1963,18.8000000000,
F,46,1,1963,18.2000000000,
F,47,1,1963,17.6000000000,
F,48,1,1963,17.0000000000,
F,49,1,1963,16.5000000000,
F,5,1,1963,50.7000000000,
F,50,1,1963,16.0000000000,
F,51,1,1963,15.6000000000,
F,52,1,1963,15.1000000000,
F,53,1,1963,14.6000000000,
F,54,1,1963,13.9000000000,
F,55,1,1963,13.1000000000,
F,56,1,1963,12.3000000000,
F,57,1,1963,11.5000000000,
F,58,1,1963,10.8000000000,
F,59,1,1963,10.4000000000,
F,6,1,1963,48.9000000000,
F,60,1,1963,10.1000000000,
F,61,1,1963,9.8000000000,
F,62,1,1963,9.5000000000,
F,63,1,1963,9.1000000000,
F,64,1,1963,8.6000000000,
F,65,1,1963,8.1000000000,
F,66,1,1963,7.4000000000,
F,67,1,1963,6.8000000000,
F,68,1,1963,6.2000000000,
F,69,1,1963,5.7000000000,
F,7,1,1963,46.7000000000,
F,70,1,1963,5.3000000000,
F,71,1,1963,4.9000000000,
F,72,1,1963,4.5000000000,
F,73,1,1963,4.1000000000,
F,74,1,1963,3.7000000000,
F,75,1,1963,3.3000000000,
F,76,1,1963,2.9000000000,
F,77,1,1963,2.4000000000,
F,78,1,1963,2.0000000000,
F,79,1,1963,1.7000000000,
F,8,1,1963,44.4000000000,
F,80,1,1963,1.5000000000,
F,81,1,1963,1.2000000000,
F,82,1,1963,1.1000000000,
F,83,1,1963,0.9000000000,
F,84,1,1963,0.9000000000,
F,85_and_over,1,1963,3.1000000000,
F,9,1,1963,42.4000000000,
F,zero,1,1963,51.7000000000,
M,,1,1963,1730.1000000000,
M,1,1,1963,56.2000000000,
M,10,1,1963,42.6000000000,
M,11,1,1963,40.6000000000,
M,12,1,1963,38.6000000000,
M,13,1,1963,36.4000000000,
M,14,1,1963,33.4000000000,
M,15,1,1963,30.2000000000,
M,16,1,1963,27.0000000000,
M,17,1,1963,24.2000000000,
M,18,1,1963,22.0000000000,
M,19,1,1963,20.9000000000,
M,2,1,1963,56.4000000000,
M,20,1,1963,21.1000000000,
M,21,1,1963,21.4000000000,
M,22,1,1963,21.7000000000,
M,23,1,1963,22.2000000000,
M,24,1,1963,23.0000000000,
M,25,1,1963,23.6000000000,
M,26,1,1963,24.5000000000,
M,27,1,1963,25.4000000000,
M,28,1,1963,26.3000000000,
M,29,1,1963,27.0000000000,
M,3,1,1963,55.8000000000,
M,30,1,1963,27.4000000000,
M,31,1,1963,27.6000000000,
M,32,1,1963,28.0000000000,
M,33,1,1963,28.0000000000,
M,34,1,1963,27.7000000000,
M,35,1,1963,27.0000000000,
M,36,1,1963,26.1000000000,
M,37,1,1963,25.1000000000,
M,38,1,1963,24.4000000000,
M,39,1,1963,23.8000000000,
M,4,1,1963,54.8000000000,
M,40,1,1963,23.5000000000,
M,41,1,1963,23.1000000000,
M,42,1,1963,22.7000000000,
M,43,1,1963,22.3000000000,
M,44,1,1963,21.6000000000,
M,45,1,1963,20.6000000000,
M,46,1,1963,19.6000000000,
M,47,1,1963,18.6000000000,
M,48,1,1963,17.6000000000,
M,49,1,1963,16.8000000000,
M,5,1,1963,53.2000000000,
M,50,1,1963,16.2000000000,
M,51,1,1963,15.4000000000,
M,52,1,1963,14.8000000000,
M,53,1,1963,13.9000000000,
M,54,1,1963,12.8000000000,
M,55,1,1963,11.6000000000,
M,56,1,1963,10.3000000000,
M,57,1,1963,8.8000000000,
M,58,1,1963,7.8000000000,
M,59,1,1963,7.1000000000,
M,6,1,1963,51.5000000000,
M,60,1,1963,6.7000000000,
M,61,1,1963,6.5000000000,
M,62,1,1963,6.2000000000,
M,63,1,1963,5.8000000000,
M,64,1,1963,5.3000000000,
M,65,1,1963,4.7000000000,
M,66,1,1963,4.0000000000,
M,67,1,1963,3.5000000000,
M,68,1,1963,3.0000000000,
M,69,1,1963,2.7000000000,
M,7,1,1963,49.1000000000,
M,70,1,1963,2.4000000000,
M,71,1,1963,2.3000000000,
M,72,1,1963,2.1000000000,
M,73,1,1963,1.9000000000,
M,74,1,1963,1.7000000000,
M,75,1,1963,1.4000000000,
M,76,1,1963,1.2000000000,
M,77,1,1963,1.0000000000,
M,78,1,1963,0.8000000000,
M,79,1,1963,0.6000000000,
M,8,1,1963,46.8000000000,
M,80,1,1963,0.5000000000,
M,81,1,1963,0.5000000000,
M,82,1,1963,0.4000000000,
M,83,1,1963,0.4000000000,
M,84,1,1963,0.3000000000,
M,85_and_over,1,1963,1.2000000000,
M,9,1,1963,44.5000000000,
M,zero,1,1963,52.4000000000,
,,2,1963,3461.8000000000,
F,,2,1963,0.0000000000,9
M,,2,1963,0.0000000000,9
,,1,1964,3504.6000000000,
,1,1,1964,108.5000000000,
,10,1,1964,86.9000000000,
,11,1,1964,83.6000000000,
,12,1,1964,80.2000000000,
,13,1,1964,76.6000000000,
,14,1,1964,72.5000000000,
,15,1,1964,66.8000000000,
,16,1,1964,59.8000000000,
,17,1,1964,53.0000000000,
,18,1,1964,46.6000000000,
,19,1,1964,41.4000000000,
,2,1,1964,109.8000000000,
,20,1,1964,38.7000000000,
,21,1,1964,38.3000000000,
,22,1,1964,38.3000000000,
,23,1,1964,38.8000000000,
,24,1,1964,39.5000000000,
,25,1,1964,40.9000000000,
,26,1,1964,42.7000000000,
,27,1,1964,44.8000000000,
,28,1,1964,47.1000000000,
,29,1,1964,49.2000000000,
,3,1,1964,110.3000000000,
,30,1,1964,50.7000000000,
,31,1,1964,51.5000000000,
,32,1,1964,52.3000000000,
,33,1,1964,53.1000000000,
,34,1,1964,53.1000000000,
,35,1,1964,52.7000000000,
,36,1,1964,51.3000000000,
,37,1,1964,49.8000000000,
,38,1,1964,47.9000000000,
,39,1,1964,46.6000000000,
,4,1,1964,109.1000000000,
,40,1,1964,45.2000000000,
,41,1,1964,44.6000000000,
,42,1,1964,43.8000000000,
,43,1,1964,42.9000000000,
,44,1,1964,42.0000000000,
