month_id,year,month,n_days,days_warmer_than_climatology,days_cooler_than_climatology,days_tmax_above_climatology,days_tmin_below_climatology,mean_relative_humidity,total_rainfall_mm,n_clim_years_min,climatology_rule,data_status
2019-05,2019,5,31,8,23,8,24,85.709677,234.6,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2019-06,2019,6,30,16,13,16,15,82.9,429.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2019-07,2019,7,31,18,13,13,14,81.354839,328.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2019-08,2019,8,31,21,10,18,13,82.16129,596.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2019-09,2019,9,30,16,14,20,17,73.0,198.9,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2019-10,2019,10,31,21,10,25,8,73.0,149.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2019-11,2019,11,30,14,16,25,18,68.8,0.0,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2019-12,2019,12,31,21,10,23,11,69.516129,13.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-01,2020,1,31,25,6,26,7,75.709677,14.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-02,2020,2,29,23,6,19,5,78.344828,79.8,2,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-03,2020,3,31,21,10,16,8,84.483871,41.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-04,2020,4,30,7,23,12,26,77.833333,77.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-05,2020,5,31,21,10,21,11,83.032258,352.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-06,2020,6,30,25,5,23,5,78.533333,397.2,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-07,2020,7,31,29,2,27,5,76.483871,125.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-08,2020,8,31,19,12,22,18,81.516129,448.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-09,2020,9,30,11,19,14,18,83.533333,708.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-10,2020,10,31,8,23,17,23,71.548387,142.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-11,2020,11,30,19,11,20,13,71.466667,5.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2020-12,2020,12,31,17,14,18,15,68.870968,1.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-01,2021,1,31,16,15,19,15,61.806452,0.0,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-02,2021,2,28,28,0,26,0,75.464286,62.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-03,2021,3,31,27,4,24,3,78.774194,3.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-04,2021,4,30,17,13,17,11,78.766667,32.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-05,2021,5,31,29,2,30,3,78.193548,65.0,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-06,2021,6,30,14,16,16,15,82.3,628.0,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-07,2021,7,31,23,7,23,12,80.129032,379.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-08,2021,8,31,16,15,14,14,82.645161,350.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-09,2021,9,30,29,1,28,2,78.133333,129.6,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-10,2021,10,31,17,14,15,13,76.290323,631.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-11,2021,11,30,16,14,22,17,67.333333,5.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2021-12,2021,12,31,23,8,23,8,68.483871,19.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-01,2022,1,31,24,7,23,5,78.0,4.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-02,2022,2,28,6,22,8,22,80.75,168.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-03,2022,3,31,23,8,25,12,78.935484,92.7,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-04,2022,4,30,18,12,21,12,73.366667,3.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-05,2022,5,31,3,28,10,23,80.645161,436.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-06,2022,6,30,14,16,11,15,81.3,349.2,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-07,2022,7,31,23,8,23,4,76.935484,158.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-08,2022,8,31,15,16,19,19,82.322581,614.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-09,2022,9,30,24,6,22,8,68.633333,171.2,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-10,2022,10,31,19,12,21,15,64.645161,49.9,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-11,2022,11,30,22,8,19,10,82.666667,130.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2022-12,2022,12,31,4,27,8,28,64.0,25.7,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2023-01,2023,1,31,16,15,17,15,67.290323,18.2,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
